n,t(n),5.54519319*log(2n),,0.0001037*sqrt(n),,6.49709758e-06*n,,3.8595191e-07*nlog(n),,2.82103269e-13*n^2,,1.07675014e-20*n^3,,,
1000000.00,1.09,80.45,6297.74,0.10,0.98,6.50,29.18,5.33,17.95,0.28,0.66,0.01,1.18,,
1725000.00,2.42,83.48,6570.03,0.14,5.22,11.21,77.20,9.56,50.98,0.84,2.50,0.06,5.60,,
2450000.00,4.04,85.42,6623.24,0.16,15.03,15.92,141.11,13.91,97.46,1.69,5.50,0.16,15.06,,
3175000.00,5.91,86.86,6552.37,0.18,32.81,20.63,216.54,18.35,154.56,2.84,9.42,0.34,31.01,,
3900000.00,7.99,88.00,6401.15,0.20,60.66,25.34,300.87,22.84,220.55,4.29,13.71,0.64,54.09,,
4625000.00,10.39,88.95,6171.62,0.22,103.29,30.05,386.64,27.39,289.30,6.03,18.94,1.07,86.88,,
5350000.00,12.94,89.75,5900.41,0.24,161.27,34.76,476.13,31.99,362.93,8.07,23.66,1.65,127.47,,
6075000.00,15.72,90.46,5585.45,0.26,239.21,39.47,563.96,36.62,436.84,10.41,28.20,2.41,177.10,,
6800000.00,18.75,91.08,5232.21,0.27,341.46,44.18,646.75,41.29,508.07,13.04,32.54,3.39,236.03,,
7525000.00,22.02,91.64,4847.33,0.28,472.52,48.89,721.92,45.99,574.26,15.97,36.57,4.59,303.94,,
8250000.00,25.55,92.15,4436.21,0.30,637.67,53.60,786.86,50.71,632.98,19.20,40.31,6.05,380.40,,
8975000.00,29.31,92.62,4007.89,0.31,841.19,58.31,840.85,55.46,683.47,22.72,43.43,7.78,463.53,,
9700000.00,33.32,93.05,3567.87,0.32,1088.87,63.02,882.14,60.23,723.98,26.54,45.94,9.83,551.96,,
10425000.00,37.64,93.45,3115.47,0.33,1391.38,67.73,905.78,65.02,749.85,30.66,48.68,12.20,647.01,,
11150000.00,42.23,93.83,2662.48,0.35,1753.91,72.44,913.05,69.83,762.01,35.07,51.18,14.93,745.30,,
11875000.00,47.00,94.17,2225.81,0.36,2175.16,77.15,909.45,74.66,765.28,39.78,52.06,18.03,838.98,,
12600000.00,52.03,94.50,1803.63,0.37,2669.37,81.86,889.79,79.51,754.72,44.79,52.52,21.54,929.94,,
13325000.00,57.26,94.81,1410.48,0.38,3235.16,86.57,859.48,84.37,735.04,50.09,51.38,25.48,1010.09,,
14050000.00,62.76,95.11,1046.27,0.39,3890.30,91.28,813.57,89.25,701.47,55.69,50.03,29.86,1082.23,,
14775000.00,68.55,95.39,720.39,0.40,4644.07,95.99,753.43,94.14,654.97,61.58,48.48,34.73,1143.56,,
15500000.00,74.55,95.65,445.29,0.41,5497.00,100.71,684.08,99.04,599.97,67.78,45.90,40.10,1187.02,,
16225000.00,80.77,95.91,229.11,0.42,6456.33,105.42,607.45,103.96,537.97,74.26,42.32,45.99,1209.54,,
16950000.00,87.21,96.15,79.92,0.43,7530.95,110.13,525.23,108.89,470.32,81.05,37.93,52.44,1209.14,,
17675000.00,93.91,96.38,6.10,0.44,8737.58,114.84,437.86,113.84,397.09,88.13,33.41,59.46,1187.17,,
18400000.00,100.87,96.60,18.22,0.44,10085.42,119.55,348.78,118.79,321.20,95.51,28.75,67.08,1142.09,,
19125000.00,108.16,96.82,128.59,0.45,11600.04,124.26,259.21,123.76,243.43,103.18,24.73,75.32,1078.17,,
19850000.00,115.54,97.02,343.01,0.46,13243.86,128.97,180.19,128.74,174.02,111.16,19.26,84.22,981.42,,
20575000.00,123.20,97.22,674.78,0.47,15062.31,133.68,109.80,133.72,110.74,119.42,14.26,93.79,865.17,,
21300000.00,131.21,97.41,1142.14,0.48,17090.70,138.39,51.53,138.72,56.39,127.99,10.38,104.05,737.51,,
22025000.00,139.28,97.60,1736.97,0.49,19262.76,143.10,14.60,143.73,19.79,136.85,5.90,115.04,587.25,,
22750000.00,147.68,97.78,2489.85,0.49,21662.95,147.81,0.02,148.74,1.13,146.01,2.80,126.78,436.62,,
23475000.00,156.31,97.95,3405.94,0.50,24277.24,152.52,14.40,153.77,6.50,155.46,0.73,139.29,289.69,,
24200000.00,165.22,98.12,4501.84,0.51,27128.68,157.23,63.81,158.80,41.22,165.21,0.00,152.60,159.16,,
24925000.00,174.42,98.29,5796.85,0.52,30243.05,161.94,155.82,163.84,112.01,175.26,0.70,166.73,59.14,,
25650000.00,183.83,98.44,7291.29,0.53,33602.12,166.65,295.27,168.89,223.36,185.60,3.13,181.71,4.51,,
26375000.00,193.54,98.60,9014.65,0.53,37253.80,171.36,492.13,173.95,384.11,196.24,7.28,197.56,16.10,,
27100000.00,203.39,98.75,10948.72,0.54,41146.57,176.07,746.09,179.01,594.12,207.18,14.39,214.30,119.12,,
27825000.00,213.52,98.90,13139.06,0.55,45358.35,180.78,1071.92,184.08,866.60,218.41,23.92,231.96,340.10,,
28550000.00,224.00,99.04,15615.53,0.55,49928.52,185.49,1482.93,189.16,1213.63,229.94,35.31,250.57,706.04,,
29275000.00,234.64,99.18,18349.97,0.56,54792.94,190.20,1974.69,194.25,1631.29,241.77,50.83,270.15,1260.99,,
30000000.00,245.54,99.31,21381.57,0.57,60010.31,194.91,2562.90,199.34,2133.83,253.89,69.81,290.72,2041.64,,
,,,,,,,,,,,,,,,
,,,4924.82,,13749.54,,590.08,,488.18,,27.50,,596.32,,
